,index,features,rank
8599,2628,FC_mean_2628,8599
8600,19485,FC_mean_19485,8599
8601,13096,FC_mean_13096,8602
8602,4228,FC_mean_4228,8602
8603,33203,FC_mean_33203,8602
8604,4146,FC_mean_4146,8605
8605,43945,FC_mean_43945,8605
8606,13745,FC_mean_13745,8605
8607,12233,FC_mean_12233,8607
8608,24812,FC_mean_24812,8607
8609,28191,FC_mean_28191,8609
8610,31815,FC_mean_31815,8610
8611,24934,FC_mean_24934,8610
8612,12485,FC_mean_12485,8612
8613,41828,FC_mean_41828,8612
8614,6597,FC_mean_6597,8614
8615,20248,FC_mean_20248,8615
8616,42639,FC_mean_42639,8615
8617,11312,FC_mean_11312,8617
8618,36061,FC_mean_36061,8618
8619,22824,FC_mean_22824,8619
8620,41518,FC_mean_41518,8620
8621,18450,FC_mean_18450,8621
8622,15314,FC_mean_15314,8622
8623,40081,FC_mean_40081,8622
