,index,features,rank
402,42573,FC_mean_42573,402
403,23240,FC_mean_23240,403
404,38023,FC_mean_38023,404
405,16442,FC_mean_16442,405
406,4712,FC_mean_4712,406
407,32894,FC_mean_32894,407
408,37494,FC_mean_37494,408
409,37176,FC_mean_37176,408
410,37578,FC_mean_37578,410
411,29861,FC_mean_29861,411
412,11051,FC_mean_11051,412
413,2807,FC_mean_2807,413
414,27474,FC_mean_27474,414
415,8254,FC_mean_8254,415
416,28872,FC_mean_28872,416
417,40035,FC_mean_40035,417
418,25696,FC_mean_25696,418
419,19451,FC_mean_19451,419
420,4695,FC_mean_4695,420
421,1844,FC_mean_1844,420
422,38650,FC_mean_38650,422
423,22836,FC_mean_22836,423
424,38588,FC_mean_38588,424
425,1595,FC_mean_1595,424
426,13229,FC_mean_13229,426
427,39223,FC_mean_39223,427
428,5142,FC_mean_5142,428
429,9968,FC_mean_9968,429
430,42517,FC_mean_42517,430
431,23485,FC_mean_23485,431
432,943,FC_mean_943,432
433,8481,FC_mean_8481,433
434,30898,FC_mean_30898,434
435,42972,FC_mean_42972,435
436,19763,FC_mean_19763,437
437,17148,FC_mean_17148,437
438,43428,FC_mean_43428,437
439,42026,FC_mean_42026,439
440,35651,FC_mean_35651,440
441,28221,FC_mean_28221,441
442,36059,FC_mean_36059,442
443,19332,FC_mean_19332,442
444,30542,FC_mean_30542,444
445,43997,FC_mean_43997,445
446,4945,FC_mean_4945,446
447,23741,FC_mean_23741,447
448,44202,FC_mean_44202,448
449,38187,FC_mean_38187,448
450,332,FC_mean_332,450
451,15433,FC_mean_15433,451
452,5196,FC_mean_5196,452
453,11518,FC_mean_11518,453
454,2304,FC_mean_2304,454
455,29539,FC_mean_29539,455
456,33702,FC_mean_33702,455
457,11241,FC_mean_11241,457
458,13044,FC_mean_13044,458
459,2151,FC_mean_2151,459
460,20218,FC_mean_20218,459
461,41047,FC_mean_41047,461
462,41271,FC_mean_41271,462
463,40467,FC_mean_40467,463
464,41592,FC_mean_41592,464
465,39081,FC_mean_39081,465
466,28650,FC_mean_28650,466
467,32904,FC_mean_32904,467
468,34234,FC_mean_34234,468
469,10619,FC_mean_10619,468
470,30899,FC_mean_30899,470
471,25229,FC_mean_25229,470
472,27834,FC_mean_27834,472
473,40466,FC_mean_40466,473
474,33472,FC_mean_33472,474
475,1359,FC_mean_1359,475
476,40680,FC_mean_40680,476
477,3158,FC_mean_3158,477
478,44627,FC_mean_44627,478
479,25500,FC_mean_25500,478
480,40017,FC_mean_40017,481
481,23834,FC_mean_23834,481
482,30874,FC_mean_30874,481
483,693,FC_mean_693,483
